Data Number,Motor 1 Position,Motor 2 Position,Motor 3 Position,Motor 4 Position,Frequency (MHz),Real Impedance (Ohms),Imaginary Impedance (Ohms),Color
,46,0,0,0,18.5,35.12433312601428,21.355137957112056,#3498db
,52,0,0,0,18.5,34.691882662376855,24.062291455105523,#3498db
,59,0,0,0,18.5,34.54821745352077,27.64116579451246,#3498db
,66,0,0,0,18.5,34.21089815178981,30.814328995092144,#3498db
,74,0,0,0,18.5,34.132604306297495,33.99957473756514,#3498db
,80,0,0,0,18.5,34.01843501661007,37.01132927362802,#3498db
,88,0,0,0,18.5,34.06459019482993,40.12238085292954,#3498db
,94,0,0,0,18.5,34.18313212291063,42.96625689413139,#3498db
,101,0,0,0,18.5,34.424472210964375,45.83221026016445,#3498db
,108,0,0,0,18.5,34.63139147517656,48.51248788743456,#3498db
,115,0,0,0,18.5,35.00510106751069,51.35867468373377,#3498db
,122,0,0,0,18.5,35.068139134639296,53.75229311422217,#3498db
,130,0,0,0,18.5,35.598606634838575,56.40968443701772,#3498db
,136,0,0,0,18.5,35.87880142336336,58.737349851089974,#3498db
,143,0,0,0,18.5,36.325942485647545,61.12934257013049,#3498db
,150,0,0,0,18.5,36.83745712800765,63.50082230871397,#3498db
,157,0,0,0,18.5,37.28782780947056,65.72915782320304,#3498db
,164,0,0,0,18.5,37.757048901951705,67.68337111900313,#3498db
,171,0,0,0,18.5,38.602284416651244,69.4758703242807,#3498db
,178,0,0,0,18.5,39.14242551772636,71.45823271253765,#3498db
,185,0,0,0,18.5,39.101927206501685,71.06932979286849,#3498db
,48,3,0,0,18.5,33.995930866510975,23.008622985998475,#e74c3c
,54,3,0,0,18.5,33.56140483613683,25.59506588269639,#e74c3c
,61,3,0,0,18.5,33.04966746682599,28.81474679882741,#e74c3c
,68,3,0,0,18.5,32.728610049884004,31.738669706833758,#e74c3c
,75,3,0,0,18.5,32.364790255154524,34.722895634955464,#e74c3c
,82,3,0,0,18.5,32.116552236843035,37.662752407572846,#e74c3c
,89,3,0,0,18.5,31.98183049951314,40.49963311127702,#e74c3c
,96,3,0,0,18.5,31.934885755627832,43.20444121543983,#e74c3c
,103,3,0,0,18.5,31.91207494210951,45.76642765867898,#e74c3c
,110,3,0,0,18.5,31.963055817682328,48.08178565153994,#e74c3c
,117,3,0,0,18.5,32.133539892347414,50.62360097941356,#e74c3c
,124,3,0,0,18.5,32.34941976698598,52.9564639343015,#e74c3c
,131,3,0,0,18.5,32.531516202842305,55.054890323136675,#e74c3c
,138,3,0,0,18.5,32.700397228642395,57.52196750716279,#e74c3c
,145,3,0,0,18.5,33.018793136435285,59.65038231853723,#e74c3c
,152,3,0,0,18.5,33.286163789913125,61.63476023609,#e74c3c
,158,3,0,0,18.5,33.6377719420357,63.431988220685454,#e74c3c
,166,3,0,0,18.5,33.95635523270616,65.35354188223513,#e74c3c
,173,3,0,0,18.5,34.37960220609682,67.11042561371013,#e74c3c
,180,3,0,0,18.5,34.56434747289511,68.68685831789757,#e74c3c
,187,3,0,0,18.5,34.36477332190006,67.75731000379618,#e74c3c
,46,6,0,0,18.5,33.399042952018696,22.72712517167425,#1abc9c
,52,6,0,0,18.5,32.77825181194441,25.26751083586624,#1abc9c
,59,6,0,0,18.5,32.129632830075636,28.418501036627166,#1abc9c
,66,6,0,0,18.5,31.72023227018963,31.18846729934466,#1abc9c
,74,6,0,0,18.5,31.19107395577984,34.19077975679877,#1abc9c
,80,6,0,0,18.5,30.888406643203307,36.881972861673965,#1abc9c
,88,6,0,0,18.5,30.63566863023105,39.69530984417652,#1abc9c
,94,6,0,0,18.5,30.38826892703127,42.14034534853894,#1abc9c
,101,6,0,0,18.5,30.21934908417508,44.658206098234714,#1abc9c
,108,6,0,0,18.5,30.131626519990917,47.02602598619535,#1abc9c
,115,6,0,0,18.5,30.060418782866847,49.28288965970004,#1abc9c
,122,6,0,0,18.5,30.151903060973268,51.52017848778566,#1abc9c
,130,6,0,0,18.5,30.4130586156145,53.663498844911324,#1abc9c
,136,6,0,0,18.5,30.388927501112544,55.55361078233462,#1abc9c
,143,6,0,0,18.5,30.48750573730136,57.58861621953749,#1abc9c
,150,6,0,0,18.5,30.618319412718108,59.38390964632871,#1abc9c
,157,6,0,0,18.5,30.776779643226636,61.47067525143554,#1abc9c
,164,6,0,0,18.5,31.227847105770284,63.32916286210065,#1abc9c
,171,6,0,0,18.5,31.5146096824917,64.68099290187753,#1abc9c
,178,6,0,0,18.5,31.73170648856558,66.0682079139441,#1abc9c
,185,6,0,0,18.5,31.75926136314474,65.81897067300717,#1abc9c
,48,9,0,0,18.5,32.76197072997575,23.74463686669983,#f39c12
,54,9,0,0,18.5,32.17333131885573,26.230802127689923,#f39c12
,61,9,0,0,18.5,31.46462285660097,29.14730975686945,#f39c12
,68,9,0,0,18.5,30.978396959034463,32.07664566406792,#f39c12
,75,9,0,0,18.5,30.469828089015937,34.672319405889716,#f39c12
,82,9,0,0,18.5,30.022265519182113,37.34141718508157,#f39c12
,89,9,0,0,18.5,29.729446787850733,39.91866802081538,#f39c12
,96,9,0,0,18.5,29.595652034701686,42.474586023736535,#f39c12
,103,9,0,0,18.5,29.48094786587771,44.89084144123486,#f39c12
,110,9,0,0,18.5,29.228055755247972,47.03127136994248,#f39c12
,117,9,0,0,18.5,29.174721027923386,49.184603721820956,#f39c12
,124,9,0,0,18.5,29.11051182102332,51.37303128055051,#f39c12
,131,9,0,0,18.5,29.03971312177396,53.220663846621875,#f39c12
,138,9,0,0,18.5,29.212273834637532,55.308969712133226,#f39c12
,145,9,0,0,18.5,29.464345391222523,57.10287868004701,#f39c12
,152,9,0,0,18.5,29.498250925500937,59.075083743874366,#f39c12
,158,9,0,0,18.5,29.67453620014619,60.569481998543964,#f39c12
,166,9,0,0,18.5,29.9568469294347,62.222382865814566,#f39c12
,173,9,0,0,18.5,30.010075146019133,63.71882775871827,#f39c12
,180,9,0,0,18.5,30.240102017603448,65.13836958909312,#f39c12
,187,9,0,0,18.5,30.007348741681408,64.12200275821014,#f39c12
,46,12,0,0,18.5,32.972240087288405,23.153356956709427,#2ecc71
,52,12,0,0,18.5,32.17555920143176,25.482601038403114,#2ecc71
,59,12,0,0,18.5,31.463731693130594,28.595939011246223,#2ecc71
,66,12,0,0,18.5,30.969086532315917,31.40590191014444,#2ecc71
,74,12,0,0,18.5,30.397927062100603,34.280042304681714,#2ecc71
,80,12,0,0,18.5,29.987366848141086,36.82170149502983,#2ecc71
,88,12,0,0,18.5,29.750540337044026,39.49176352201563,#2ecc71
,94,12,0,0,18.5,29.530243018096858,41.76404478953963,#2ecc71
,101,12,0,0,18.5,29.234068956281952,44.44620639230918,#2ecc71
,108,12,0,0,18.5,29.199675384365875,46.55410048231841,#2ecc71
,115,12,0,0,18.5,29.051283309552858,48.73914659334629,#2ecc71
,122,12,0,0,18.5,29.000284622567968,50.71515154094128,#2ecc71
,130,12,0,0,18.5,29.087568702038162,52.95735597066555,#2ecc71
,136,12,0,0,18.5,29.21472193364472,54.6210506916118,#2ecc71
,143,12,0,0,18.5,29.250271197236472,56.619330363390205,#2ecc71
,150,12,0,0,18.5,29.33613303756254,58.395647804046696,#2ecc71
,157,12,0,0,18.5,29.503990858443014,60.14578984513946,#2ecc71
,164,12,0,0,18.5,29.514656608586385,61.824915432367604,#2ecc71
,171,12,0,0,18.5,29.731327785866522,63.37931500358041,#2ecc71
,178,12,0,0,18.5,30.134711271792202,64.7388519560848,#2ecc71
,185,12,0,0,18.5,29.79481178165393,64.28601078061205,#2ecc71
,47,15,0,0,18.5,33.15703556391236,23.21753457986086,#f1c40f
,53,15,0,0,18.5,32.40117311621085,25.921497465854593,#f1c40f
,60,15,0,0,18.5,31.727933200195864,28.847301063736566,#f1c40f
,67,15,0,0,18.5,31.15630707191869,31.768875132312974,#f1c40f
,74,15,0,0,18.5,30.660304796477092,34.406632357476546,#f1c40f
,82,15,0,0,18.5,30.395011325473817,37.32153043506696,#f1c40f
,88,15,0,0,18.5,30.123060276795197,39.71491162119677,#f1c40f
,96,15,0,0,18.5,29.86214895040503,42.427762286090825,#f1c40f
,102,15,0,0,18.5,29.714932766499267,44.80155248820082,#f1c40f
,109,15,0,0,18.5,29.59280492015277,47.147292062452905,#f1c40f
,116,15,0,0,18.5,29.572522733123098,49.07733813586446,#f1c40f
,123,15,0,0,18.5,29.550017392472245,51.396084024102464,#f1c40f
,130,15,0,0,18.5,29.605657804315303,53.337307775122724,#f1c40f
,138,15,0,0,18.5,29.74403985612531,55.51141985424201,#f1c40f
,144,15,0,0,18.5,29.901612765037473,57.35263369590084,#f1c40f
,151,15,0,0,18.5,30.0384934696547,59.30836573950872,#f1c40f
,158,15,0,0,18.5,30.145302709185778,60.84137915607518,#f1c40f
,165,15,0,0,18.5,30.311147724912455,62.7396234057983,#f1c40f
,172,15,0,0,18.5,30.777479759663763,64.10572219007155,#f1c40f
,179,15,0,0,18.5,30.79583039638068,65.57170722074208,#f1c40f
,186,15,0,0,18.5,30.599540983075638,64.84112500690674,#f1c40f
,48,18,0,0,18.5,33.64118635630888,23.411326445900396,#3498db
,54,18,0,0,18.5,33.06562991957201,25.939937620033774,#3498db
,62,18,0,0,18.5,32.555205625406494,29.144209282576043,#3498db
,68,18,0,0,18.5,32.05781592943684,31.973065321513488,#3498db
,76,18,0,0,18.5,31.842806203206507,34.94886910452175,#3498db
,82,18,0,0,18.5,31.436289008178356,37.757188963013355,#3498db
,90,18,0,0,18.5,31.35832374879141,40.519650598453254,#3498db
,96,18,0,0,18.5,31.085085796031482,43.10334628948726,#3498db
,103,18,0,0,18.5,31.248090986449927,45.718193839772525,#3498db
,110,18,0,0,18.5,31.077647951180573,48.11870190980676,#3498db
,117,18,0,0,18.5,31.26715302462392,50.5021135984472,#3498db
,124,18,0,0,18.5,31.142042250597786,52.515122429955696,#3498db
,131,18,0,0,18.5,31.453587176493052,54.99408766279504,#3498db
,138,18,0,0,18.5,31.601297057862983,56.90226813190152,#3498db
,145,18,0,0,18.5,32.0061128252804,58.971841811872025,#3498db
,152,18,0,0,18.5,32.21897967210998,60.87086318317025,#3498db
,159,18,0,0,18.5,32.44570309065792,62.77523358850482,#3498db
,166,18,0,0,18.5,32.741649591677955,64.62446407924264,#3498db
,173,18,0,0,18.5,33.20791497736173,66.38297153902333,#3498db
,180,18,0,0,18.5,33.3433963015764,67.45004714921065,#3498db
,187,18,0,0,18.5,33.020611832760224,66.47292341990054,#3498db
,46,21,0,0,18.5,34.78350184722351,21.604785733199694,#e74c3c
,52,21,0,0,18.5,34.38519013822417,24.23059603138077,#e74c3c
,59,21,0,0,18.5,33.993855904438796,27.63668740420271,#e74c3c
,66,21,0,0,18.5,33.69159784099556,30.72701941672087,#e74c3c
,74,21,0,0,18.5,33.583274515449816,33.92969054869489,#e74c3c
,80,21,0,0,18.5,33.549882101641685,36.897212261551644,#e74c3c
,88,21,0,0,18.5,33.5326963098116,40.08318462190693,#e74c3c
,94,21,0,0,18.5,33.6105216556835,42.804707812130474,#e74c3c
,101,21,0,0,18.5,33.62598666099556,45.889370958683855,#e74c3c
,108,21,0,0,18.5,33.71954280735957,48.36452491761908,#e74c3c
,115,21,0,0,18.5,34.07731038670391,50.9073048055402,#e74c3c
,122,21,0,0,18.5,34.42839411235594,53.25144744616576,#e74c3c
,130,21,0,0,18.5,34.614484550081706,55.884529982552756,#e74c3c
,136,21,0,0,18.5,34.96894267212756,58.11052052294867,#e74c3c
,143,21,0,0,18.5,35.56382114177878,60.56762103688549,#e74c3c
,150,21,0,0,18.5,35.91838438007075,62.732533864134,#e74c3c
,157,21,0,0,18.5,36.35014413088082,64.96028888131251,#e74c3c
,164,21,0,0,18.5,36.914708349610514,66.76181480255487,#e74c3c
,171,21,0,0,18.5,37.39072401919521,68.86530054608598,#e74c3c
,178,21,0,0,18.5,37.64231427454222,70.58640191205494,#e74c3c
,185,21,0,0,18.5,37.63265313024961,70.4098894830863,#e74c3c
,47,24,0,0,18.5,35.62521394469232,21.285798719808767,#1abc9c
,53,24,0,0,18.5,35.49691398766621,24.02139426661527,#1abc9c
,60,24,0,0,18.5,35.4065273103133,27.354835179224143,#1abc9c
,68,24,0,0,18.5,35.38159112180449,30.77258078428852,#1abc9c
,74,24,0,0,18.5,35.404039686787904,33.93842783187751,#1abc9c
,82,24,0,0,18.5,35.65175876144533,37.48601821618622,#1abc9c
,88,24,0,0,18.5,35.82158681219617,40.462525955011444,#1abc9c
