Data Number,Motor 1 Position,Motor 2 Position,Motor 3 Position,Motor 4 Position,Frequency (MHz),Real Impedance (Ohms),Imaginary Impedance (Ohms),Color
,0,0,0,0,18.5,33.77005327523412,23.25423860211338,#e74c3c
,10,0,0,0,18.5,35.39164417179483,18.71274798767896,#e74c3c
,20,0,0,0,18.5,37.30897015800924,13.824184876232701,#e74c3c
,30,0,0,0,18.5,39.73097942489428,8.746154406417675,#e74c3c
,40,0,0,0,18.5,42.74524993734381,3.307729412381869,#e74c3c
,50,0,0,0,18.5,46.34159337477882,-2.349783239385312,#e74c3c
,59,0,0,0,18.5,50.189998671989336,-7.763491688270151,#e74c3c
,69,0,0,0,18.5,51.166051438668546,-8.854908397576132,#e74c3c
,79,0,0,0,18.5,47.07534967356161,-3.5020387288387185,#e74c3c
,89,0,0,0,18.5,42.98675242574408,3.174847587423951,#e74c3c
,99,0,0,0,18.5,39.76609357987266,9.255265559550251,#e74c3c
,109,0,0,0,18.5,37.38899872693136,14.585056328393703,#e74c3c
,119,0,0,0,18.5,35.45427323694045,19.668258675339217,#e74c3c
,129,0,0,0,18.5,33.9566405057971,24.42036230002509,#e74c3c
,139,0,0,0,18.5,32.94128290895894,28.74960560874629,#e74c3c
,149,0,0,0,18.5,31.980150090300395,32.99613053710307,#e74c3c
,159,0,0,0,18.5,31.394490003680577,36.865064066329595,#e74c3c
,169,0,0,0,18.5,31.051738042024336,40.63216476837525,#e74c3c
,179,0,0,0,18.5,30.608194850269673,44.06092827694427,#e74c3c
,189,0,0,0,18.5,30.558494313898862,47.166033401993495,#e74c3c
,199,0,0,0,18.5,30.411533556842404,50.211094219549224,#e74c3c
,0,9,0,0,18.5,36.102158714637454,21.310519321431034,#f39c12
,10,9,0,0,18.5,36.826143179562415,16.008792075250952,#f39c12
,20,9,0,0,18.5,37.59803293867932,10.581994751123624,#f39c12
,30,9,0,0,18.5,38.647517873756016,5.1153580190355195,#f39c12
,40,9,0,0,18.5,40.04012079601725,-0.571116258118275,#f39c12
,50,9,0,0,18.5,41.81587949737845,-6.465850091482697,#f39c12
,59,9,0,0,18.5,43.81895337629761,-12.07484499844328,#f39c12
,69,9,0,0,18.5,44.39966354452001,-13.751167802391164,#f39c12
,79,9,0,0,18.5,42.66236784024187,-8.854080480569538,#f39c12
,89,9,0,0,18.5,40.5760184726672,-2.1175255624058456,#f39c12
,99,9,0,0,18.5,39.14599284881442,4.315124300992577,#f39c12
,109,9,0,0,18.5,38.028402666960226,10.179640601306605,#f39c12
,119,9,0,0,18.5,37.27496914209272,15.70583655176663,#f39c12
,129,9,0,0,18.5,36.82513986756642,20.95671897568306,#f39c12
,139,9,0,0,18.5,36.68775728522075,26.21843285494341,#f39c12
,149,9,0,0,18.5,36.65890943723974,31.053216052048743,#f39c12
,159,9,0,0,18.5,36.82222945031224,35.64639161048029,#f39c12
,169,9,0,0,18.5,37.28699372019698,40.41256721049304,#f39c12
,179,9,0,0,18.5,37.96637720984598,44.54875696596305,#f39c12
,189,9,0,0,18.5,38.34243875930647,48.80680137122816,#f39c12
,199,9,0,0,18.5,39.13987340047512,52.55930915116056,#f39c12
,0,19,0,0,18.5,38.99198397227697,16.99740072744191,#f1c40f
,10,19,0,0,18.5,37.86647397845876,11.41173345581744,#f1c40f
,20,19,0,0,18.5,36.97374150393978,6.069530106037684,#f1c40f
,30,19,0,0,18.5,36.31529370046507,0.827241668219375,#f1c40f
,40,19,0,0,18.5,35.92691613177822,-4.480206541378884,#f1c40f
,50,19,0,0,18.5,35.69395123185356,-9.728087784739749,#f1c40f
,59,19,0,0,18.5,35.76682848822206,-14.715070246999895,#f1c40f
,69,19,0,0,18.5,35.83220898141928,-16.581097972018405,#f1c40f
,79,19,0,0,18.5,35.80701871120594,-12.948416399989037,#f1c40f
,90,19,0,0,18.5,35.97270405809468,-6.907709706197154,#f1c40f
,99,19,0,0,18.5,36.33671193273413,-0.9992133000864949,#f1c40f
,109,19,0,0,18.5,37.08225851921333,4.571356824637452,#f1c40f
,119,19,0,0,18.5,38.07517355008498,10.020792278706521,#f1c40f
,129,19,0,0,18.5,39.23551287462323,15.543248144000522,#f1c40f
,139,19,0,0,18.5,40.834261516275255,20.93095272850198,#f1c40f
,149,19,0,0,18.5,42.69242637509256,26.218822786010957,#f1c40f
,159,19,0,0,18.5,44.90348530948348,31.57268055721131,#f1c40f
,169,19,0,0,18.5,47.341017930166785,36.96609425952341,#f1c40f
,179,19,0,0,18.5,50.01814641619715,42.26708233945785,#f1c40f
,189,19,0,0,18.5,53.10696141621687,47.30595129214869,#f1c40f
,199,19,0,0,18.5,56.20144014230875,51.96631264982398,#f1c40f
,0,30,0,0,18.5,41.23634435309143,12.105817143646027,#2ecc71
,9,30,0,0,18.5,37.93691249959306,7.126934922400534,#2ecc71
,19,30,0,0,18.5,35.39446190105187,2.4771372156434563,#2ecc71
,29,30,0,0,18.5,33.26250856736871,-2.009931828967992,#2ecc71
,39,30,0,0,18.5,31.47246870836163,-6.309080879870576,#2ecc71
,49,30,0,0,18.5,30.11425124831714,-10.421688588201917,#2ecc71
,59,30,0,0,18.5,28.966686046138225,-14.346931891460976,#2ecc71
,69,30,0,0,18.5,28.474208360209378,-16.601273824364554,#2ecc71
,79,30,0,0,18.5,28.817152064333804,-14.940999297183629,#2ecc71
,89,30,0,0,18.5,30.207064321992732,-10.376185050639688,#2ecc71
,99,30,0,0,18.5,31.86253747901144,-5.741242277188733,#2ecc71
,109,30,0,0,18.5,33.908579516274784,-1.1606856231017584,#2ecc71
,119,30,0,0,18.5,36.34113850368321,3.4251282435788597,#2ecc71
,129,30,0,0,18.5,39.281128126159864,8.074268052428176,#2ecc71
,139,30,0,0,18.5,42.77481687705988,12.723905726325288,#2ecc71
,149,30,0,0,18.5,46.77185216293804,17.522485683666638,#2ecc71
,159,30,0,0,18.5,51.298947382416266,21.994101131796345,#2ecc71
,169,30,0,0,18.5,56.9681254716273,26.65380736950277,#2ecc71
,179,30,0,0,18.5,62.92701278523123,30.831037640669393,#2ecc71
,189,30,0,0,18.5,69.89471271402432,34.530052580502954,#2ecc71
,199,30,0,0,18.5,77.45307278780194,37.710046911644675,#2ecc71
,0,40,0,0,18.5,40.521130137289425,5.202287735974711,#1abc9c
,10,40,0,0,18.5,35.90152824914458,1.7595804423119008,#1abc9c
,20,40,0,0,18.5,32.35049305866979,-1.475964112601224,#1abc9c
,30,40,0,0,18.5,29.471110999756167,-4.808212830008729,#1abc9c
,40,40,0,0,18.5,27.032327768166493,-7.895540870767894,#1abc9c
,50,40,0,0,18.5,25.181976406704422,-10.852371051236917,#1abc9c
,60,40,0,0,18.5,23.59021525902602,-13.659425797085106,#1abc9c
,69,40,0,0,18.5,22.768055693885497,-15.258253405040008,#1abc9c
,79,40,0,0,18.5,23.445584344962768,-13.96939429933562,#1abc9c
,89,40,0,0,18.5,25.31234612475064,-10.780483365000759,#1abc9c
,99,40,0,0,18.5,27.58483571383591,-7.4120660518298305,#1abc9c
,109,40,0,0,18.5,30.2456654394693,-4.0782850767812295,#1abc9c
,119,40,0,0,18.5,33.46544500219145,-0.8976840123609061,#1abc9c
,129,40,0,0,18.5,37.48776256646654,2.2644648668548153,#1abc9c
,139,40,0,0,18.5,42.18615778243111,5.310050747669814,#1abc9c
,149,40,0,0,18.5,47.77552966382714,8.048206148491584,#1abc9c
,159,40,0,0,18.5,54.34486435846917,10.108947576030628,#1abc9c
,169,40,0,0,18.5,61.78578878890119,11.217202303605152,#1abc9c
,179,40,0,0,18.5,69.908857388394,11.027859538091187,#1abc9c
,189,40,0,0,18.5,78.68060970065532,9.348735091565471,#1abc9c
,199,40,0,0,18.5,87.37051235756728,5.797254204819145,#1abc9c
,0,49,0,0,18.5,37.55113866265642,-0.7287608496871351,#3498db
,9,49,0,0,18.5,32.751272307194164,-2.15337134601104,#3498db
,19,49,0,0,18.5,28.80150532282505,-4.107000890388212,#3498db
,29,49,0,0,18.5,25.644752940077193,-6.1448568938638815,#3498db
,39,49,0,0,18.5,23.143202167023286,-8.217199662241814,#3498db
,49,49,0,0,18.5,21.103374415590352,-10.249469914673444,#3498db
,59,49,0,0,18.5,19.51953046395414,-12.222660735153145,#3498db
,69,49,0,0,18.5,18.595099191460378,-13.358202856034586,#3498db
,79,49,0,0,18.5,19.281428954072084,-12.47009374067881,#3498db
,89,49,0,0,18.5,21.131903706845563,-10.319183294314348,#3498db
,99,49,0,0,18.5,23.453726440030806,-8.006365286502152,#3498db
,109,49,0,0,18.5,26.227724499746454,-5.955259506179569,#3498db
,119,49,0,0,18.5,29.622800326235613,-3.9535977817006898,#3498db
,129,49,0,0,18.5,33.847956317012304,-2.323006536371597,#3498db
,139,49,0,0,18.5,38.73379826235456,-1.186373473131786,#3498db
,149,49,0,0,18.5,44.433471060693314,-1.1283068401952758,#3498db
,159,49,0,0,18.5,50.50649775760151,-2.1846974674567927,#3498db
,169,49,0,0,18.5,56.98230386117005,-4.968215248496646,#3498db
,179,49,0,0,18.5,62.868030049432384,-9.380393064293255,#3498db
,189,49,0,0,18.5,67.46573551036684,-15.455967570894567,#3498db
,198,49,0,0,18.5,70.59248827178733,-22.123683373140132,#3498db
,0,198,0,0,18.5,8.208284312141295,-0.481601274559393,#e74c3c
,10,198,0,0,18.5,8.202441726740913,0.03638107494802553,#e74c3c
,20,198,0,0,18.5,7.9681662853660695,0.5443114170959799,#e74c3c
,30,198,0,0,18.5,7.593535675207532,0.867816493550344,#e74c3c
,40,198,0,0,18.5,7.245032420024633,1.0753721096577893,#e74c3c
,50,198,0,0,18.5,6.8807480247220285,1.043887858191453,#e74c3c
,60,198,0,0,18.5,6.587153720901138,1.1114542585294012,#e74c3c
,69,198,0,0,18.5,6.422929915642802,1.0200345658483705,#e74c3c
,79,198,0,0,18.5,6.6350151490124665,1.0618188335723104,#e74c3c
,89,198,0,0,18.5,6.9263264992924265,1.0590149439596637,#e74c3c
,99,198,0,0,18.5,7.343485387375854,1.0469009480822629,#e74c3c
,109,198,0,0,18.5,7.633343750998356,0.7982717864355977,#e74c3c
,119,198,0,0,18.5,7.93516674496734,0.393643332754848,#e74c3c
,129,198,0,0,18.5,8.194340633141627,-0.02656477610646097,#e74c3c
,139,198,0,0,18.5,8.157572859499512,-0.5577879280097575,#e74c3c
,149,198,0,0,18.5,8.0256390425488,-1.0359082541591724,#e74c3c
,159,198,0,0,18.5,7.7609318121982325,-1.330612568599684,#e74c3c
,169,198,0,0,18.5,7.510604686818257,-1.5584259994493488,#e74c3c
,179,198,0,0,18.5,7.159087438253001,-1.6591293807853655,#e74c3c
,189,198,0,0,18.5,6.920639359377953,-1.767118717558822,#e74c3c
,199,198,0,0,18.5,6.726916831535902,-1.7477891723361962,#e74c3c
,0,190,0,0,18.5,8.376190502841851,-0.6201165329891478,#f39c12
,10,190,0,0,18.5,8.258086297564542,-0.014507817695578316,#f39c12
,20,190,0,0,18.5,7.993027483859289,0.41582720718692123,#f39c12
,30,190,0,0,18.5,7.692754812986501,0.7511210063579898,#f39c12
,40,190,0,0,18.5,7.243140671113144,0.9417984709554851,#f39c12
,50,190,0,0,18.5,6.906309927164815,0.9828378162252187,#f39c12
,60,190,0,0,18.5,6.626406138709235,0.9620752741606888,#f39c12
,69,190,0,0,18.5,6.476551229200469,0.9840172838758331,#f39c12
,79,190,0,0,18.5,6.599498915123362,0.995648752185188,#f39c12
,89,190,0,0,18.5,6.945346177692407,0.9957472033520857,#f39c12
,99,190,0,0,18.5,7.349120127463929,0.8459976002513527,#f39c12
,109,190,0,0,18.5,7.69442538408682,0.7387777367437703,#f39c12
,119,190,0,0,18.5,8.066650576255299,0.34265874423942116,#f39c12
,129,190,0,0,18.5,8.267364301178446,-0.18047160339447524,#f39c12
,139,190,0,0,18.5,8.291668588934831,-0.6770264803865805,#f39c12
,149,190,0,0,18.5,8.078095227258224,-1.1948513996050103,#f39c12
,159,190,0,0,18.5,7.845419973480172,-1.5425383488019198,#f39c12
,169,190,0,0,18.5,7.521604574805888,-1.7221719570091805,#f39c12
,179,190,0,0,18.5,7.252274562457123,-1.766066190108388,#f39c12
,189,190,0,0,18.5,6.9751465101236825,-1.9110797506799289,#f39c12
,199,190,0,0,18.5,6.746776865816471,-1.906670022598683,#f39c12
,0,180,0,0,18.5,8.718120940123491,-1.1424117604910633,#f1c40f
,9,180,0,0,18.5,8.661631112196336,-0.4855286502417977,#f1c40f
,19,180,0,0,18.5,8.337796623821232,0.024997483934052794,#f1c40f
,29,180,0,0,18.5,7.913238288169833,0.35161183495144793,#f1c40f
,39,180,0,0,18.5,7.490752414314906,0.5461437136583146,#f1c40f
,49,180,0,0,18.5,7.155299643578714,0.6018452191783905,#f1c40f
,59,180,0,0,18.5,6.83860464397117,0.5356637582586141,#f1c40f
,69,180,0,0,18.5,6.651579447166824,0.5405064144112042,#f1c40f
,79,180,0,0,18.5,6.725982117646297,0.5445629420009263,#f1c40f
,89,180,0,0,18.5,7.146488701147624,0.5961151078692416,#f1c40f
,99,180,0,0,18.5,7.530312458346761,0.5361220945857926,#f1c40f
,109,180,0,0,18.5,7.991139273152036,0.26260733043819884,#f1c40f
,119,180,0,0,18.5,8.365728499429052,-0.09876746187855294,#f1c40f
,129,180,0,0,18.5,8.554733001812217,-0.6159880348938161,#f1c40f
,139,180,0,0,18.5,8.646251579772423,-1.1921970400970465,#f1c40f
,149,180,0,0,18.5,8.441890227958622,-1.702041981774284,#f1c40f
,159,180,0,0,18.5,8.196020671477331,-2.0871984939655044,#f1c40f
,169,180,0,0,18.5,7.843405030579116,-2.446619639124314,#f1c40f
,179,180,0,0,18.5,7.5422050292423,-2.522349999619167,#f1c40f
,189,180,0,0,18.5,7.277651795706088,-2.601959130545518,#f1c40f
,198,180,0,0,18.5,7.042594809476578,-2.673972492197831,#f1c40f
,0,169,0,0,18.5,9.3120794995176,-1.7800763060999922,#2ecc71
,10,169,0,0,18.5,9.099891711992214,-1.0371731629025103,#2ecc71
,21,169,0,0,18.5,8.710382495732029,-0.4292564791926308,#2ecc71
,31,169,0,0,18.5,8.275454534380664,-0.08949109304343678,#2ecc71
,41,169,0,0,18.5,7.733013285637362,0.08571207633353961,#2ecc71
,51,169,0,0,18.5,7.324874477574546,0.1289241540466049,#2ecc71
,61,169,0,0,18.5,6.973150172104225,0.06260250000239602,#2ecc71
,71,169,0,0,18.5,6.742384767092866,0.02041331659407757,#2ecc71
,81,169,0,0,18.5,6.971050065044667,0.09852368414501764,#2ecc71
,91,169,0,0,18.5,7.4030326663028285,0.13009725492009508,#2ecc71
,101,169,0,0,18.5,7.893515790172375,0.05674190689821598,#2ecc71
,110,169,0,0,18.5,8.406584920764201,-0.26975049230336107,#2ecc71
,120,169,0,0,18.5,8.87710985219395,-0.702467278584697,#2ecc71
,130,169,0,0,18.5,9.09443906413675,-1.3351821839254774,#2ecc71
,140,169,0,0,18.5,9.140050786602213,-1.973991831780058,#2ecc71
,150,169,0,0,18.5,8.921812592307814,-2.477676160948,#2ecc71
,160,169,0,0,18.5,8.565446292851508,-2.993414549070033,#2ecc71
,170,169,0,0,18.5,8.266879502777966,-3.275682150961822,#2ecc71
,180,169,0,0,18.5,7.891893031658404,-3.411934965018459,#2ecc71
,190,169,0,0,18.5,7.58000515020347,-3.4772014090789063,#2ecc71
,200,169,0,0,18.5,7.259203359182284,-3.5367344686176403,#2ecc71
,0,159,0,0,18.5,9.888261339360872,-2.5172928869960742,#1abc9c
,9,159,0,0,18.5,9.67563725940425,-1.7303472767972978,#1abc9c
,19,159,0,0,18.5,9.207370601165374,-1.0715194950010438,#1abc9c
,29,159,0,0,18.5,8.722292028318268,-0.6941715890276868,#1abc9c
,39,159,0,0,18.5,8.18076631164976,-0.5044153402367717,#1abc9c
,49,159,0,0,18.5,7.655933830808638,-0.465166820573294,#1abc9c
,59,159,0,0,18.5,7.257737616831549,-0.5100128048420746,#1abc9c
,69,159,0,0,18.5,7.012543047861256,-0.5609719803111151,#1abc9c
,79,159,0,0,18.5,7.174884244385879,-0.523799390568093,#1abc9c
,89,159,0,0,18.5,7.623076629484366,-0.4160048949825717,#1abc9c
,99,159,0,0,18.5,8.161809753742745,-0.4609763122623019,#1abc9c
,109,159,0,0,18.5,8.75220095670636,-0.7369871731459177,#1abc9c
,119,159,0,0,18.5,9.241005910259299,-1.2208964198215233,#1abc9c
,129,159,0,0,18.5,9.566608680603492,-1.8267440274462283,#1abc9c
,139,159,0,0,18.5,9.766869566540393,-2.5467731609450595,#1abc9c
,149,159,0,0,18.5,9.618054333264356,-3.2406649496922317,#1abc9c
,159,159,0,0,18.5,9.340676610905366,-3.799307666531418,#1abc9c
,169,159,0,0,18.5,8.859721494427607,-4.263420794264744,#1abc9c
,179,159,0,0,18.5,8.43924367874472,-4.438441452296979,#1abc9c
,189,159,0,0,18.5,8.094561537808422,-4.577231293437055,#1abc9c
,198,159,0,0,18.5,7.7234711404440395,-4.597354020742667,#1abc9c
,0,150,0,0,18.5,10.629885129109669,-3.280700747896326,#3498db
,10,150,0,0,18.5,10.312864067640993,-2.392110761436607,#3498db
,20,150,0,0,18.5,9.781853371046479,-1.6180771878066775,#3498db
,30,150,0,0,18.5,9.237592504617794,-1.2787822213144708,#3498db
,40,150,0,0,18.5,8.55086213286984,-1.0499227234586892,#3498db
,50,150,0,0,18.5,8.033765105618546,-1.021877262719958,#3498db
,60,150,0,0,18.5,7.56818261805443,-1.0415966347772152,#3498db
,69,150,0,0,18.5,7.341797925834645,-1.1770743802960837,#3498db
,79,150,0,0,18.5,7.499916662683691,-1.1095363604415913,#3498db
,89,150,0,0,18.5,7.984053856628793,-1.0549502082544635,#3498db
,99,150,0,0,18.5,8.615851561176358,-1.1073212303231095,#3498db
,109,150,0,0,18.5,9.250145852308213,-1.2999472285926115,#3498db
,119,150,0,0,18.5,9.894547514825076,-1.7984119196604862,#3498db
,129,150,0,0,18.5,10.306228281415317,-2.5206473529950952,#3498db
,139,150,0,0,18.5,10.513643689931618,-3.361265671825098,#3498db
,149,150,0,0,18.5,10.360094379532006,-4.201965333513923,#3498db
,159,150,0,0,18.5,9.977010362294466,-4.865585718540779,#3498db
,169,150,0,0,18.5,9.616422099176317,-5.339065679359002,#3498db
,179,150,0,0,18.5,9.022519224645574,-5.641462826205109,#3498db
,189,150,0,0,18.5,8.600788349116499,-5.76361389079698,#3498db
,199,150,0,0,18.5,8.232076549534087,-5.840334487661619,#3498db
,0,140,0,0,18.5,11.486284750864332,-4.0550345369361045,#e74c3c
,9,140,0,0,18.5,11.173775785608333,-3.0748248873832975,#e74c3c
,19,140,0,0,18.5,10.591760648441982,-2.2972950978734645,#e74c3c
,29,140,0,0,18.5,9.758977214858179,-1.878980297743519,#e74c3c
,39,140,0,0,18.5,9.036911051866312,-1.6839991511525576,#e74c3c
,49,140,0,0,18.5,8.445287631420994,-1.648232083885911,#e74c3c
,59,140,0,0,18.5,7.917149296682626,-1.7114194565022727,#e74c3c
,69,140,0,0,18.5,7.603165995434579,-1.7564221370582063,#e74c3c
,79,140,0,0,18.5,7.821136463391175,-1.7801886159006317,#e74c3c
,89,140,0,0,18.5,8.34283817073899,-1.6392115589476228,#e74c3c
,99,140,0,0,18.5,8.990404031906596,-1.6892218272080588,#e74c3c
,109,140,0,0,18.5,9.799529557902067,-1.931262526277208,#e74c3c
,119,140,0,0,18.5,10.541785131296065,-2.4041839417997015,#e74c3c
,129,140,0,0,18.5,11.07919233526718,-3.190998125662671,#e74c3c
,139,140,0,0,18.5,11.418199194662797,-4.092802498639019,#e74c3c
,149,140,0,0,18.5,11.352983081231923,-5.154564750064064,#e74c3c
,159,140,0,0,18.5,11.009583683341795,-5.891880088402647,#e74c3c
,169,140,0,0,18.5,10.521188189232602,-6.58705403883873,#e74c3c
,179,140,0,0,18.5,9.94178156648909,-6.930997168058815,#e74c3c
,189,140,0,0,18.5,9.38107470423367,-7.145641064012014,#e74c3c
,198,140,0,0,18.5,8.9117809186901,-7.248513446374731,#e74c3c
,0,130,0,0,18.5,12.64039902808895,-4.865820925473477,#f39c12
,10,130,0,0,18.5,12.139550241944722,-3.733198156282491,#f39c12
,20,130,0,0,18.5,11.364831626880253,-2.968463420874423,#f39c12
,30,130,0,0,18.5,10.471030107010728,-2.507182508030388,#f39c12
,40,130,0,0,18.5,9.631982365455574,-2.3486757747766216,#f39c12
,50,130,0,0,18.5,8.99692363059093,-2.3445530624092634,#f39c12
,60,130,0,0,18.5,8.380117345456528,-2.470780078086265,#f39c12
,69,130,0,0,18.5,8.00366063037878,-2.596805574580621,#f39c12
,79,130,0,0,18.5,8.213046362603105,-2.512962704495303,#f39c12
,89,130,0,0,18.5,8.853840808615354,-2.4021151538519865,#f39c12
,99,130,0,0,18.5,9.630718328463614,-2.343559158471799,#f39c12
,109,130,0,0,18.5,10.55820762882669,-2.5788637856679433,#f39c12
,119,130,0,0,18.5,11.39212570708822,-3.0656571211034387,#f39c12
,129,130,0,0,18.5,12.121357669010447,-3.9113597373236977,#f39c12
